Ages,Gender,Height,Weight,Activity Level,Dietary Preference,Daily Calorie Target,Protein,Sugar,Sodium,Calories,Carbohydrates,Fiber,Fat
25,Male,180.0,80.0,Moderately Active,Omnivore,2000.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
32,Female,165.0,65.0,Lightly Active,Vegetarian,1600.0,80.0,100.0,16.0,1480.0,200.0,24.0,40.0
62,Male,170.0,85.0,Sedentary,Vegetarian,2000.0,80.0,125.0,16.0,1815.0,250.0,30.0,55.0
68,Female,155.0,60.0,Lightly Active,Vegan,1800.0,70.0,110.0,14.0,1565.0,220.0,26.4,45.0
28,Male,190.0,100.0,Moderately Active,Omnivore,3000.0,180.0,175.0,36.0,2840.0,350.0,42.0,80.0
35,Female,170.0,75.0,Very Active,Vegetarian,2400.0,120.0,150.0,24.0,2220.0,300.0,36.0,60.0
42,Male,185.0,110.0,Moderately Active,Vegan,3200.0,160.0,200.0,32.0,3005.0,400.0,48.0,85.0
58,Female,168.0,78.0,Sedentary,Vegan,1900.0,75.0,115.0,15.0,1670.0,230.0,27.6,50.0
25,Male,180.0,80.0,Lightly Active,Omnivore,2000.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
32,Female,165.0,65.0,Moderately Active,Vegan,2200.0,100.0,150.0,20.0,2230.0,300.0,36.0,70.0
48,Male,175.0,95.0,Sedentary,Vegetarian,2400.0,100.0,175.0,20.0,2520.0,350.0,42.0,80.0
28,Female,172.0,60.0,Lightly Active,Vegan,2000.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
40,Female,168.0,75.0,Moderately Active,Vegetarian,2200.0,100.0,150.0,20.0,2230.0,300.0,36.0,70.0
58,Female,155.0,68.0,Sedentary,Vegan,1600.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
62,Male,175.0,95.0,Moderately Active,Omnivore,2200.0,120.0,140.0,24.0,2140.0,280.0,33.6,60.0
28,Female,170.0,65.0,Very Active,Vegan,2400.0,140.0,160.0,28.0,2470.0,320.0,38.4,70.0
68,Female,155.0,60.0,Sedentary,Vegan,1400.0,70.0,90.0,14.0,1315.0,180.0,21.6,35.0
22,Female,160.0,50.0,Lightly Active,Vegan,1500.0,80.0,100.0,16.0,1480.0,200.0,24.0,40.0
25,Female,165.0,60.0,Lightly Active,Omnivore,1800.0,80.0,100.0,16.0,1660.0,200.0,24.0,60.0
38,Male,180.0,85.0,Moderately Active,Vegetarian,2800.0,150.0,125.0,30.0,2320.0,250.0,30.0,80.0
42,Male,190.0,95.0,Very Active,Omnivore,3200.0,200.0,150.0,40.0,2900.0,300.0,36.0,100.0
28,Male,175.0,70.0,Moderately Active,Omnivore,2500.0,130.0,110.0,26.0,2030.0,220.0,26.4,70.0
58,Male,185.0,90.0,Moderately Active,Omnivore,2400.0,100.0,120.0,20.0,1990.0,240.0,28.8,70.0
22,Female,168.0,55.0,Very Active,Vegan,2200.0,110.0,100.0,22.0,1780.0,200.0,24.0,60.0
45,Male,182.0,80.0,Lightly Active,Omnivore,2000.0,90.0,110.0,18.0,1780.0,220.0,26.4,60.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
32,Female,165.0,65.0,Lightly Active,Vegetarian,2000.0,100.0,100.0,20.0,1740.0,200.0,24.0,60.0
55,Male,175.0,90.0,Sedentary,Vegan,2000.0,80.0,125.0,16.0,1770.0,250.0,30.0,50.0
68,Female,160.0,75.0,Lightly Active,Omnivore,1800.0,80.0,90.0,16.0,1490.0,180.0,21.6,50.0
28,Male,185.0,95.0,Very Active,Omnivore,3000.0,160.0,175.0,32.0,2760.0,350.0,42.0,80.0
38,Female,170.0,70.0,Moderately Active,Vegan,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
45,Female,168.0,60.0,Very Active,Vegetarian,2400.0,120.0,140.0,24.0,2230.0,280.0,33.6,70.0
22,Female,172.0,55.0,Moderately Active,Vegan,1800.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
58,Male,178.0,98.0,Sedentary,Omnivore,2000.0,80.0,125.0,16.0,1770.0,250.0,30.0,50.0
32,Female,165.0,60.0,Moderately Active,Vegetarian,2200.0,100.0,150.0,20.0,2230.0,300.0,36.0,70.0
55,Female,160.0,70.0,Sedentary,Vegan,1600.0,80.0,100.0,16.0,1570.0,200.0,24.0,50.0
28,Male,185.0,90.0,Moderately Active,Vegan,2600.0,130.0,175.0,26.0,2640.0,350.0,42.0,80.0
62,Female,155.0,65.0,Lightly Active,Omnivore,1800.0,90.0,110.0,18.0,1780.0,220.0,26.4,60.0
22,Male,190.0,80.0,Moderately Active,Vegan,2100.0,100.0,135.0,20.0,2065.0,270.0,32.4,65.0
40,Female,168.0,72.0,Lightly Active,Vegetarian,2000.0,90.0,125.0,18.0,1945.0,250.0,30.0,65.0
25,Male,180.0,80.0,Moderately Active,Omnivore,2800.0,160.0,175.0,32.0,2760.0,350.0,42.0,80.0
32,Female,165.0,60.0,Lightly Active,Vegetarian,1800.0,100.0,110.0,20.0,1730.0,220.0,26.4,50.0
55,Male,175.0,90.0,Sedentary,Omnivore,2200.0,120.0,125.0,24.0,2020.0,250.0,30.0,60.0
62,Female,160.0,70.0,Lightly Active,Omnivore,1600.0,80.0,90.0,16.0,1400.0,180.0,21.6,40.0
68,Female,155.0,65.0,Lightly Active,Vegetarian,1700.0,80.0,95.0,16.0,1530.0,190.0,22.8,50.0
25,Female,165.0,60.0,Lightly Active,Omnivore,1800.0,100.0,100.0,20.0,1740.0,200.0,24.0,60.0
32,Male,180.0,85.0,Moderately Active,Omnivore,2800.0,180.0,150.0,36.0,2640.0,300.0,36.0,80.0
48,Female,170.0,75.0,Sedentary,Vegetarian,2000.0,80.0,110.0,16.0,1830.0,220.0,26.4,70.0
55,Male,175.0,90.0,Moderately Active,Vegan,2500.0,160.0,140.0,32.0,2390.0,280.0,33.6,70.0
62,Female,160.0,65.0,Lightly Active,Vegan,1600.0,80.0,90.0,16.0,1490.0,180.0,21.6,50.0
28,Male,190.0,100.0,Very Active,Omnivore,3200.0,200.0,175.0,40.0,3010.0,350.0,42.0,90.0
35,Female,168.0,55.0,Sedentary,Vegetarian,1500.0,70.0,85.0,14.0,1410.0,170.0,20.4,50.0
21,Female,172.0,58.0,Lightly Active,Omnivore,1700.0,90.0,95.0,18.0,1660.0,190.0,22.8,60.0
58,Male,178.0,80.0,Sedentary,Vegetarian,2100.0,70.0,115.0,14.0,1830.0,230.0,27.6,70.0
38,Female,165.0,65.0,Sedentary,Vegetarian,1800.0,80.0,110.0,16.0,1740.0,220.0,26.4,60.0
45,Female,170.0,75.0,Very Active,Vegan,2200.0,100.0,140.0,20.0,2060.0,280.0,33.6,60.0
58,Male,178.0,85.0,Sedentary,Omnivore,2200.0,100.0,135.0,20.0,2110.0,270.0,32.4,70.0
22,Female,160.0,55.0,Moderately Active,Vegetarian,2000.0,100.0,125.0,20.0,1940.0,250.0,30.0,60.0
30,Female,168.0,60.0,Very Active,Vegan,2400.0,120.0,150.0,24.0,2400.0,300.0,36.0,80.0
55,Female,165.0,78.0,Sedentary,Vegetarian,1900.0,80.0,115.0,16.0,1780.0,230.0,27.6,60.0
28,Male,185.0,100.0,Moderately Active,Omnivore,2800.0,160.0,175.0,32.0,2940.0,350.0,42.0,100.0
